CODIGO;DESCRICAO
79467;CALCULADORA 08 DIGITOS
20694;CALCULADORA 12 DIGITOS MOD KK-837B KENKO
35390;CALCULADORA BOLSO
91309;CALCULADORA BOLSO BATER 8 DIG
55620;CALCULADORA BOLSO CIENTIFICA FX-82
29907;PILHA ALCALINA AA 1.5V
29908;PILHA ALCALINA AAA PALITO 1.5V
2058306;PILHA ALCALINA AAAA 1,5V
35518;PILHA ALCALINA C MEDIA
2121747;PILHA ALCALINA MINI MN21 A23 12V C/ 2UN
2109034;PILHA LI 1/2AA 3,6V UNID
20463;PILHA RECARREGAVEL AA 4 UN 2500 MHAA
2121619;PILHA RECARREGAVEL LITIO
64928;PINCEL QUADRO BRANCO COR AZUL
64929;PINCEL QUADRO BRANCO COR PRETO
64930;PINCEL QUADRO BRANCO COR VERMELHO
20616;PINCEL QUADRO BRANCO COR VERDE
79810;GRAMPEADOR 100 FOLHAS
20509;GRAMPEADOR METAL 26/6 20 FLS
20524;GRAMPEADOR METAL 26/6 40 FLS
43858;GRAMPEADOR METAL 266 HALF S 11,5CM 25FLS
63243;GRAMPEADOR METAL GRANDE 26/6 30 FLS
35488;GRAMPO GRAMPEADOR 26/6
20510;GRAMPO 26/6 HELIOS/CHAPARRAU
2101409;CAMISETA REFLETIVO EXG
2101407;CAMISETA REFLETIVO G
2101408;CAMISETA REFLETIVO GG
2101406;CAMISETA REFLETIVO M
2101405;CAMISETA REFLETIVO P
30478;PROTETOR CONCHA HASTE CABECA
2092530;PROTETOR CONCHA ACOPLAVEL CAPACETE
2103556;CAMISETA ML EXG
2102261;CAMISETA ML G
2102262;CAMISETA ML GG
2102260;CAMISETA ML M
2102259;CAMISETA ML P
2103557;CAMISETA EXG
2102253;CAMISETA G
2102254;CAMISETA GG
2102252;CAMISETA M
2102251;CAMISETA P
2102265;CAMISETA BRIGADA G
2102266;CAMISETA BRIGADA GG
2102264;CAMISETA BRIGADA M
2102263;CAMISETA BRIGADA P
2102269;CAMISETA CIPA G
2102268;CAMISETA CIPA M
2102267;CAMISETA CIPA P
2102270;CAMISETA CIPA GG
2102256;CALCA G
2102257;CALCA GG
2102255;CALCA M
2100721;CALCA P
2102258;CALCA EXG
2119689;CALCA ESP
2101404;CALCA REFLETIVO TAM EXG
2101403;CALCA REFLETIVO TAM GG
2101402;CALCA REFLETIVO TAM G
2101401;CALCA REFLETIVO TAM M
2101400;CALCA REFLETIVO TAM P
20501;CANETA ESFEROGRAFICA AZUL
2097817;FILTRO COMBINADO P3 60922 3M
72527;RESPIRADOR 1004 CONFO II FACE SILICONE
94940;RESPIRADOR FACIAL INTEIRA 6800 M CA7298
28166;MACACAO TYVEK BRANCO TAM-G
27894;MACACAO TYVEK BRANCO TAM-XG
27893;OCULOS SEG AMPLA VISAO PLUTAO DANNY
2099878;OCULOS SEG AMPLA VISAO 
2090472;OCULOS SEG POMP VISION 3000
74436;LAMINA TRAPEZIO 3-100D
35772;ESTILETE LAMINA RETRAT REF 15-0672
2057448;ESTILETE SEG BICO PATO
2020733;AVENTAL
2094086;LUVA BOR NITRIL CANO LONGO TAM G
2094085;LUVA BOR NITRIL CANO LONGO TAM M
2094084;LUVA BOR NITRIL CANO LONGO TAM P
27758;LUVA BORRACHA NITRILICA VD TAM G
20278;LUVA BORRACHA NITRILICA VD TAM M
27796;LUVA BORRACHA NITRILICA VD TAM P
2104210;CX LUVA AZUL TAM P 100UN
2104211;CX LUVA AZUL TAM M 100UN
2104212;CX LUVA AZUL TAM G 100UN
2104213;CX LUVA AZUL TAM GG 100UN
2104214;CX LUVA AZUL TAM XG 100UN
2091725;CAPACETE BR ABA FRONT S/VENT 4PTS H700
2108175;CARNEIRA JUGULAR CATRACA H700
2077906;CARNEIRA JUGULAR CATRACA H700
35572;PROTETOR AURICULAR TIPO PLUG
97072;MASCARA DESCART TNT TRIPLA ELAST
2010130;RESPIRADOR DESCARTAVEL PFF 2V AERO
2094812;KIT ABAFADOR POMP MUFLLER VM CAPACETE
2102844;LUVA BOR NITRIL TAM M 20CM AG QUIM 100UN
2103686;DETERGENTE NEUTRO 50 LT
2104871;TIRANTE P RESPIRADOR
2101212;GUARDA PO BRAGUILHA MG LONGA CZ CHUMBO P
2101213;GUARDA PO BRAGUILHA MG LONGA CZ CHUMBO M
2101214;GUARDA PO BRAGUILHA MG LONGA CZ CHUMBO G
2101214;swab
422993;FILME STRETCH
56014;SACO DE BOMBONA
2098885;SACO PESAGEM 50X70
70978;SACO PESAGEM 20X30
70979;SACO PESAGEM 25X35
70980;SACO PESAGEM 35X50
27728;ABRACADEIRA NY T 18R
29919;ABRACADEIRA NY T 30R 
21462;ABRACADEIRA NY T 50R 
2026536;ABRACADEIRA NY T 80I 
407129;ETIQ EM ROLO 95X75MM 125 M 1011/138
2030198;ETIQ EM ROLO 95X75MM 45M
2104895;PANO TNT 300MMX300M 35G/M2
20515;PAPEL A4 210X297MM
2061283;KIT REPOSICAO ABAFADOR HY9
2103708;DETERGENTE DIVOSAN TC 86 10 LITROS
2103687;BRELTAK PLUS DETERGENTE DESINCRUST 25 KG
452455;ACIDO FOSFORICO 85% EM AGUA SAM
210032;ACIDO CITRICO ANIDRO F
2010130;RESPIRADOR DESCARTAVEL PFF 2V AERO
28046;AVENTAL DESCART TNT MLONG VELCR GR20
2091875;CADEADO HASTE PLAST AM 38MM
43852;FITA AD TRANSP 50X100M
2092529;MANGOTE 70-118
2066814;REFIL GAS BUTANO 190G
70906;POTE VIDOR 600ML PBLG 74MM
71033;TAMPA ARJEK 74MM BRANCA
2097817;FILTRO COMBINADO P3 60922 3M
94940;RESPIRADOR FACIAL INTEIRA 6800 M CA7298
2026536;ABRACADEIRA NY T 80I HELLERMANN
2108816;LUVA MICROFLEX 93-260 TAM 6
2108817;LUVA MICROFLEX 93-260 TAM 7
2108818;LUVA MICROFLEX 93-260 TAM 8
2108819;LUVA MICROFLEX 93-260 TAM 9
2108820;LUVA MICROFLEX 93-260 TAM 10
2026106;SILISPLAY BUTANO ULTRALUB 69651 300ML
2090473;OCULOS SOBREPOSIÇÃO
2120561;ETIQUETA ADES IDENTIF APROVADO 20X10CM
2120562;ETIQUETA ADES IDENTIF REPROVADO 20X10CM
2120563;ETIQUETA ADES IDENTIF BLOQUEADO 20X10CM
2120564;ETIQUETA ADES IDENTIF TESTE 20X10CM
2120565;ETIQUETA ADES IDENTIF AMOSTRADO 20X10CM
2120051;Protetor auricular TIPO CONCHA X2A
2120561;ETIQUETA AD IDENTIF MATERIAL APROVADO
2121406;ETIQUETA AD IDENTIF MATERIAL DEV 20X10CM
2121860;OCULOS TRANSPARENTE
2058307;BLOCO DE OS
2121059;PALMILHA 33
2121060;PALMILHA 34
2121061;PALMILHA 35
2121062;PALMILHA 36
2121063;PALMILHA 37
2121064;PALMILHA 38
2121065;PALMILHA 39 
2121066;PALMILHA 40 
2121067;PALMILHA 41
2121068;PALMILHA 42
2121069;PALMILHA 43
2121070;PALMILHA 44
2121071;PALMILHA 45
2122871;LUVA 6 - SEIKI
2122872;LUVA 7 - SEIKI
2122873;LUVA 8 - SEIKI
2122874;LUVA 9 - SEIKI
2122875;LUVA 10 - SEIKI
2121443;LUVA 11 - HYFLEX
2104796;TIPO PLUG MODELO MILLENIUM P
2120051;Protetor auricular TIPO CONCHA X2A
2120052;kit reposição higienico TIPO CONCHA X2A PRETO
2119627;BOTA 33
2119628;BOTA 34
2119629;BOTA 35
2119630;BOTA 36
2119631;BOTA 37
2119632;BOTA 38
2119633;BOTA 39
2119634;BOTA 40
2119635;BOTA 41
2119636;BOTA 42
2119637;BOTA 43
2119638;BOTA 44
2119639;BOTA 45
94464;BOBINA TERMICA 55MMX400M
96597;ESPONJA ACO 8X1
2038664;ESPONJA LIMPEZA FIBRA MACIA BR
96597;ESPONJA ACO 8X1
68713;FITA ADES ANTIDERR SAFETYWALK500X20MPT
2093193;ESPONJA FIBRA LIMPEZA PESADA
2106270;BRACELETE BRIGADA TECIDO E ELASTICO P VM
2106271;BRACELETE BRIGADA TECIDO E ELASTICO M VM
2106272;BRACELETE BRIGADA TECIDO E ELASTICO G VM
2106273;BRACELETE BRIGADA TECIDO ELASTICO GG VM
2106268;BRACELETE CIPA TECIDO E ELASTICO G VERDE
2106269;BRACELETE CIPA TECIDO E ELASTICO GG VD
2106267;BRACELETE CIPA TECIDO E ELASTICO M VERDE

2106266;BRACELETE CIPA TECIDO E ELASTICO P VERDE

